dimension,group,method,samples,events,points,coverage,mse,rmse_pp,mae_pp,persistence_mse,skill,paired_mse_difference,paired_difference_ci_low,paired_difference_ci_high
history_volatility,std >5pp,luna_full,55,47,385,1.0,0.018896420857142857,13.746425301562168,9.711818181818183,0.018003493506493506,-0.04959744897995999,0.0008929273506493515,-0.001961373179532887,0.0038904377670693205
history_volatility,1pp < std <=5pp,persistence,96,74,672,1.0,0.004896244047619048,6.99731666256362,3.833333333333333,0.004896244047619048,0.0,0.0,0.0,0.0
history_volatility,std <=1pp,persistence,49,32,343,1.0,8.876676384839653e-05,0.9421611531388701,0.5571428571428573,8.876676384839653e-05,0.0,0.0,0.0,0.0
history_volatility,std >5pp,persistence,55,47,385,1.0,0.018003493506493506,13.41770975483279,9.354545454545454,0.018003493506493506,0.0,0.0,0.0,0.0
history_volatility,1pp < std <=5pp,ridge_full,96,74,672,1.0,0.00492636350760607,7.018805815525936,3.8386656107168515,0.004896244047619048,-0.006151543855676067,3.011945998702189e-05,-0.0003264046500860584,0.0003810264105102667
history_volatility,std <=1pp,ridge_full,49,32,343,1.0,0.00010437006767473937,1.0216166975668486,0.6524078008199321,8.876676384839653e-05,-0.17577867154187898,1.5603303826342834e-05,-2.615376686087928e-05,6.403527970925865e-05
history_volatility,std >5pp,ridge_full,55,47,385,1.0,0.018411399857528443,13.568861358834958,9.30688915339027,0.018003493506493506,-0.02265706657920652,0.0004079063510349368,-0.0007925460423035959,0.0019228252238983363
history_volatility,1pp < std <=5pp,ridge_price,96,74,672,1.0,0.004856501385392978,6.9688602980637935,3.8270830480523723,0.004896244047619048,0.008116969219578829,-3.9742662226069717e-05,-0.0003222416534407344,0.00021781831388326836
history_volatility,std <=1pp,ridge_price,49,32,343,1.0,9.300916238531134e-05,0.9644125796841896,0.582317515742631,8.876676384839653e-05,-0.04779264617735013,4.242398536914805e-06,-1.5688330990880936e-05,2.412685232042838e-05
history_volatility,std >5pp,ridge_price,55,47,385,1.0,0.018724211066828193,13.683643910460471,9.473463193673897,0.018003493506493506,-0.04003209488618076,0.0007207175603346876,-0.00024840512997454045,0.0019311964946265561
daily_volume,100-1000 USD,luna_full,72,59,504,1.0,0.005464468313492063,7.392204213556375,4.060257936507937,0.005118662698412698,-0.06755780473415451,0.0003458056150793653,-0.0004229004169151151,0.001264215039894914
daily_volume,1000-10000 USD,luna_full,62,48,434,1.0,0.008570243087557603,9.257560741122688,5.3658986175115215,0.009304744239631336,0.07893834942236244,-0.0007345011520737323,-0.0027514379667388828,0.0008523020926191725
daily_volume,<100 USD,luna_full,44,35,308,1.0,0.008957655357142857,9.46448908137299,4.479707792207792,0.007442191558441559,-0.20363138825448956,0.0015154637987012977,6.746220930773533e-05,0.0037225047278846126
daily_volume,>=10000 USD,luna_full,22,15,154,1.0,0.010814022012987016,10.39904900122459,6.102532467532468,0.008713038961038961,-0.24113091440802292,0.002100983051948054,-0.0005338390337301592,0.005629286886061305
daily_volume,100-1000 USD,persistence,72,59,504,1.0,0.005118662698412698,7.154482999080155,3.7563492063492063,0.005118662698412698,0.0,0.0,0.0,0.0
daily_volume,1000-10000 USD,persistence,62,48,434,1.0,0.009304744239631336,9.646110221032796,5.401152073732719,0.009304744239631336,0.0,0.0,0.0,0.0
daily_volume,<100 USD,persistence,44,35,308,1.0,0.007442191558441559,8.626813756214723,4.080194805194806,0.007442191558441559,0.0,0.0,0.0,0.0
daily_volume,>=10000 USD,persistence,22,15,154,1.0,0.008713038961038961,9.334366052945944,5.679220779220779,0.008713038961038961,0.0,0.0,0.0,0.0
daily_volume,100-1000 USD,ridge_full,72,59,504,1.0,0.005229518556090923,7.231541022555928,3.842531400413781,0.005118662698412698,-0.021657191381764918,0.0001108558576782253,-9.845008108361697e-05,0.0003314237682015842
daily_volume,1000-10000 USD,ridge_full,62,48,434,1.0,0.009542423696807306,9.768532999794445,5.29387335946205,0.009304744239631336,-0.025543900085252425,0.00023767945717597,-0.0007987871299489594,0.001585089483548546
daily_volume,<100 USD,ridge_full,44,35,308,1.0,0.007410587423651825,8.608476882498914,4.090371137989765,0.007442191558441559,0.004246616677568094,-3.160413478973424e-05,-0.0005054553984688291,0.0005324333984925616
daily_volume,>=10000 USD,ridge_full,22,15,154,1.0,0.008929571378592247,9.4496409342325,5.795456596248654,0.008713038961038961,-0.024851537852812022,0.00021653241755328553,-0.0012224062940205838,0.0014990845045698398
daily_volume,100-1000 USD,ridge_price,72,59,504,1.0,0.0051745759423655995,7.193452538500271,3.83375938791563,0.005118662698412698,-0.010923408563381365,5.59132439529016e-05,-0.00010786284316580632,0.00021734995908252668
daily_volume,1000-10000 USD,ridge_price,62,48,434,1.0,0.009624433368861056,9.810419648955419,5.349514403126391,0.009304744239631336,-0.034357648205748825,0.0003196891292297204,-0.0005525377255088959,0.0014211557185123149
daily_volume,<100 USD,ridge_price,44,35,308,1.0,0.007297521073325804,8.542552940032508,4.052020522579957,0.007442191558441559,0.019439231573078475,-0.00014467048511575525,-0.000450724686663773,0.00011079760107523959
daily_volume,>=10000 USD,ridge_price,22,15,154,1.0,0.00955626939473239,9.775617317966365,5.95384248269096,0.008713038961038961,-0.09677799416070565,0.0008432304336934288,-9.502459367205464e-05,0.0021476727344004417
price_age,1-6 hours,luna_full,98,74,686,1.0,0.007484781618075802,8.65146323928837,4.67634110787172,0.007654279883381924,0.02214424712560059,-0.00016949826530612225,-0.001039663500894034,0.0005913333814732139
price_age,<1 hour,luna_full,66,49,462,1.0,0.009786968376623375,9.892910783294964,5.709935064935065,0.008949993506493507,-0.09351681311529614,0.0008369748701298682,-0.0010676864824829943,0.0027220226067330186
price_age,>=6 hours,luna_full,36,33,252,1.0,0.0049275999603174605,7.019686574425855,3.3680555555555562,0.003437837301587302,-0.43334297933247523,0.0014897626587301585,-0.00015986566596368982,0.003996282859190357
price_age,1-6 hours,persistence,98,74,686,1.0,0.007654279883381924,8.748874146644198,4.608454810495627,0.007654279883381924,0.0,0.0,0.0,0.0
price_age,<1 hour,persistence,66,49,462,1.0,0.008949993506493507,9.460440532286805,5.327056277056278,0.008949993506493507,0.0,0.0,0.0,0.0
price_age,>=6 hours,persistence,36,33,252,1.0,0.003437837301587302,5.863307344483403,2.960714285714286,0.003437837301587302,0.0,0.0,0.0,0.0
price_age,1-6 hours,ridge_full,98,74,686,1.0,0.007600913799646346,8.718321971369459,4.584317929211087,0.007654279883381924,0.0069720580575373114,-5.336608373557837e-05,-0.00047146167182552344,0.000338896682487914
price_age,<1 hour,ridge_full,66,49,462,1.0,0.00949494821776986,9.744202490594015,5.437359526131821,0.008949993506493507,-0.060888838732784833,0.0005449547112763541,-0.0003461817553034466,0.0017827330546088297
price_age,>=6 hours,ridge_full,36,33,252,1.0,0.003308774652004347,5.7521949306367794,2.89527495883535,0.003437837301587302,0.03754181430382553,-0.00012906264958295523,-0.0005167436959182926,0.00019262680484763518
price_age,1-6 hours,ridge_price,98,74,686,1.0,0.007522923853808858,8.673479033126705,4.567792599688122,0.007654279883381924,0.017161121826528847,-0.00013135602957306623,-0.0004517301457584792,0.00015794372417232436
price_age,<1 hour,ridge_price,66,49,462,1.0,0.00975662298803694,9.877561940092777,5.5399389883013574,0.008949993506493507,-0.09012626444457172,0.0008066294815434333,2.9857320557422785e-05,0.0017959584799359758
price_age,>=6 hours,ridge_price,36,33,252,1.0,0.0033174871040680745,5.759763106298795,2.880398848309871,0.003437837301587302,0.03500753146859514,-0.00012035019751922751,-0.00044173089312070726,9.798904416976987e-05
